controlId,prompt_context
USE-CASE-SERVICE,"Evaluate if the case study meets the key criteria: 1) Demonstrates clear AI competency alignment. PASS if case study shows implementation for external customer OR globally available public solution AND includes specific AI implementation details. FAIL if case study is internal-only without global availability OR lacks clear AI technical implementation details and outcomes."
USE-CASE-SOFTWARE,"Evaluate if the case study meets the key criteria: 1) Demonstrates clear AI competency alignment. PASS if case study shows implementation for external customer OR globally available public solution AND includes specific AI implementation details. FAIL if case study is internal-only without global availability OR lacks clear AI technical implementation details and outcomes."
DOC-001-SERVICE,"At least one submitted customer example must meet the requirement. When multiple examples are provided, evaluate ALL examples collectively - approve if any example meets the requirement. Evaluate if the partner provided Architecture diagram designed with scalability and high availability. AWS Partner must submit architecture diagrams depicting the overall design and deployment of its AWS Partner solution on AWS. The architecture diagram clearly shows all AWS services used. Any intentional trade-offs in the design, such as prioritizing cost over availability, are justified based on customer requirements."
ACCT-001,"At least one submitted customer example must meet the requirement. When multiple examples are provided, evaluate ALL examples collectively - approve if any example meets the requirement. Evaluate if the partner demonstrates secure AWS account governance practices through either documented procedures OR customer examples, covering key areas like root account security, MFA, contact information, and logging/monitoring."
ACCT-002,"At least one submitted customer example must meet the requirement. When multiple examples are provided, evaluate ALL examples collectively - approve if any example meets the requirement. Evaluate if the partner's security engagement SOP covers both AWS Management Console and programmatic access to customer accounts using temporary credentials like IAM roles, and leveraging the customer's existing identity systems. The partner describes how they implement IAM best practices like least privilege access and dedicated credentials per individual in at least one submitted customer example."
OPE-001-SERVICE,"At least one submitted customer example must meet the requirement. When multiple examples are provided, evaluate ALL examples collectively - approve if any example meets the requirement. Evaluate if the partner demonstrates a systematic approach for defining, collecting and analyzing workload health metrics using AWS services or 3rd party tools. This can be shown through documented processes, detailed descriptions, or evidence of consistent implementation practices that include metric selection, log management, and alerting strategies."
OPE-002-SERVICE,"At least one submitted customer example must meet the requirement. When multiple examples are provided, evaluate ALL examples collectively - approve if any example meets the requirement. Evaluate if the partner's runbook documents routine operational tasks and troubleshooting scenarios that align with defined KPIs. It provides step-by-step instructions to perform activities and resolve issues. The runbook is well-organized, easy to follow, and accessible to relevant personnel. It is regularly reviewed and updated as processes or systems change to maintain accuracy and relevance."
OPE-003-SERVICE,"At least one submitted customer example must meet the requirement. When multiple examples are provided, evaluate ALL examples collectively - approve if any example meets the requirement. Evaluate if the partner describes a process for assessing deployment readiness, including the use of checklists or other validation methods to ensure deployments are tested before being applied to production environments. The AWS Partner showcases automated testing components and a structured testing process that is followed before launching in the production environment, ensuring the reliability and stability of their deployments."
NETSEC-001,"At least one submitted customer example must meet the requirement. When multiple examples are provided, evaluate ALL examples collectively - approve if any example meets the requirement. Evaluate if the partner describes best practices for securing network traffic."
NETSEC-002,"At least one submitted customer example must meet the requirement. When multiple examples are provided, evaluate ALL examples collectively - approve if any example meets the requirement. Evaluate if the partner has a data encryption policy that covers data at rest and in transit, with processes for implementation across all customer projects. The customer example provided by the AWS Partner demonstrates the implementation of data encryption, including the use of a dedicated key management solution for storing and managing cryptographic keys."
REL-001-SERVICE,"At least one submitted customer example must meet the requirement. When multiple examples are provided, evaluate ALL examples collectively - approve if any example meets the requirement. Evaluate if the partner describes the use of infrastructure-as-code tools like AWS CloudFormation or AWS CLI to automate the deployment process, ensuring consistency and repeatability across customer implementations."
REL-002-SERVICE,"At least one submitted customer example must meet the requirement. When multiple examples are provided, evaluate ALL examples collectively - approve if any example meets the requirement. Evaluate if the partner provided actual RTO and RPO targets. If partners do not provide defined RTO/RPO targets, PASS if they provide justification."
COST-001,"At least one submitted customer example must meet the requirement. When multiple examples are provided, evaluate ALL examples collectively - approve if any example meets the requirement. Evaluate if the partner demonstrates a methodology for conducting TCO analysis or cost modeling that includes inputs, cost estimates, and business value analysis. The methodology covers pre-implementation and ongoing costs. The partner provides an example from a customer engagement showing the application of their TCO/cost modeling approach. The example includes the key components of inputs, cost estimates, and business value. Pass if partner response includes a link starting with [https://calculator.aws/*] or description, reports, or presentations on business values analysis."
POV-001,"Evaluate if the partner covers the required elements, including company history, office locations, employee count, customer profile, AWS practice overview, and notable AWS projects, demonstrating the AWS Partner's capabilities and expertise. These details highlight the AWS Partner's unique differentiators and showcases their ability to leverage AWS services to deliver innovative solutions, setting the stage for meaningful customer conversations."
POV-002,"Evaluate if the partner The partner provides a list of at least 4 internal or external AWS-focused educational events their staff have led in the past 12 months with specific dates, demonstrating ongoing expertise development. The partner details at least 3 specific resources they provide to staff for ongoing AWS skills development, such as access to training courses, certifications, documentation, or dedicated time for learning."
POV-003,"Evaluate if the partner demonstrates a process for identifying Generative AI opportunities, training their sellers to identify and sell those Generative AI opportunities, and specific demand generation/lead generation efforts associated with their AWS Generative AI practice. The AWS Partner provides a description of how they engage with customers, their internal sellers, and AWS sellers (if applicable) to identify and pursue Generative AI opportunities related to their AWS Generative AI practice."
POV-004,"Evaluate if the partner demonstrates practical understanding of AWS collaboration by describing their engagement approach with AWS sellers and Solutions Architects, including when they engage AWS teams (deal triggers, complexity thresholds), how they coordinate with AWS roles beyond just naming acronyms, and working knowledge of AWS processes such as APN workflows, Partner Central, and funding programs. The response should show evidence of real partnership experience rather than theoretical knowledge of AWS team dynamics and collaboration frameworks."
POV-005,"Evaluate if the partner has a documented onboarding and training plan that covers key roles like sellers, solutions architects, and project managers, specifying the training paths required for each role to effectively support customers. The partner can clearly articulate their process for allocating properly trained personnel to customer projects, demonstrating they have sufficient staffing and a method to identify and assign resources with the right skills."
PRJ-001,"Evaluate if the partner demonstrates a process for collaborating with customers to identify and document expected outcomes, including specific metrics and success criteria, at the outset of each project. The AWS Partner provides project deliverable templates or resources that facilitate effective project scoping and definition, ensuring alignment between the partner and the customer on project goals, timelines, and responsibilities."
PRJ-002,"Evaluate if the partner demonstrates a process for determining the scope of work, including understanding of customer requirements, project objectives, and expected deliverables, as evidenced by project templates or resources. The AWS Partner's project scoping process includes specific criteria for defining customer projects, such as timelines, milestones, resource allocation, and success metrics, ensuring an approach to project management."
PRJ-003,"Evaluate if the partner's SOW template includes all key sections such as project scope, deliverables, timeline, pricing, assumptions and terms & conditions. It demonstrates the partner's experience delivering professional services engagements. The SOW template can be readily customized for different customer projects and requirements. It provides a solid foundation that the partner adapts to the specific needs and goals of each engagement."
PRJ-004,"Evaluate if the partner's documentation shows a dedicated Project Manager was assigned to each of the 4 customer example projects, as evidenced by project team rosters, organizational charts, or project documentation that clearly identifies the PM role assignment."
PRJ-005,"Evaluate if the partner provided documentation detailing their change management processes, including how they capture, assess, approve, and implement changes to project scope. The change management processes must demonstrate the AWS Partner's ability to effectively communicate changes to all relevant stakeholders, including the customer, and ensure changes are properly authorized and executed."
CO-001,"At least one submitted customer example must meet the requirement. When multiple examples are provided, evaluate ALL examples collectively - approve if any example meets the requirement. Evaluate if the partner case study response has KPIs for business outcome"
CO-002,"At least one submitted customer example must meet the requirement. When multiple examples are provided, evaluate ALL examples collectively - approve if any example meets the requirement. Evaluate if the partner describes challenges for customer engagement and how these are addressed as part of continuous improvement"
CSN-001,"Evaluate if the partner demonstrates a customer acceptance process by providing example customer training documents or alternative documentation showing how customer acceptance and project handoff are managed. The evidence shows the partner has a structured approach to ensuring customers can successfully adopt delivered solutions and formally accept project completion."
CSN-002,"Evaluate if the partner provides evidence of customer satisfaction monitoring, including end-of-project satisfaction results and any additional feedback collected during project delivery."
DOC-001-SOFTWARE,"Evaluate if Partner provided Architecture diagram designed with scalability and high availability. AWS Partner must submit architecture diagrams depicting the overall design and deployment of its AWS Partner solution on AWS. The architecture diagram clearly shows all AWS services used. Any intentional trade-offs in the design, such as prioritizing cost over availability, are justified based on customer requirements."
DOC-002-CUSTOMER-DEPLOY,"Evaluate if the partner attaches a copy or shares an external link for their deployment guide. The deployment guide should provide best practices for deploying the AWS Partner Solution on AWS"
DOC-003,"Evaluate if the partner provides a link to, or attaches a copy of, customer facing documentation that demonstrates compliance with documentation standards."
DOC-005,"PASS if partner provides ANY of: customer presentations, one-pagers, sales collateral, customer success stories, case studies, OR describes their sales materials. FAIL if no sales materials mentioned and no description of field-ready collateral."
DOC-006,"PASS if: (1) Partner provides working AWS Marketplace URL, OR (2) Partner states solution is NOT on AWS Marketplace or N/A, OR (3) No mention of Marketplace. FAIL only if: Partner claims Marketplace availability but URL is broken/missing. Note: Marketplace listing not mandatory for competency."
IAM-002,"Evaluate if the partner demonstrates responsible use of static AWS Access Keys by: (1) minimizing use of static keys and preferring IAM roles where possible, (2) describing security measures for any static keys used (such as rotation practices, scoped permissions, or IP restrictions), and (3) confirming customers are not required to create IAM users for solution functionality."
